apps/tieta/tieta/tieta/doctype/cell_station/cell_station.js +78,Add Device Items,
DocType: Stock Warehouse,Address,
DocType: Cell Station,Address Text,
DocType: Stock Batch No,All,
DocType: Stock Batch No,Amended From,
DocType: Stock Item Attribute,Attribute,
DocType: Stock Item AttributeValue,Attribute Name,
DocType: Stock Batch No,Attributes,
DocType: Stock Item,Barcode,
DocType: Stock Item,Batch Attribute,
DocType: Stock Batch No,Batch ID,
DocType: Stock Delivery OrderItem,Batch No,
DocType: Cell Station,Battery Setup Type,
DocType: Stock Item,Brand,
DocType: Stock Entry,Buying,
DocType: Cell Station,Cell Service List,
DocType: Cell Service Type,Cell Service Type,
DocType: Stock Item History,Cell Station,
DocType: Cell Station Device Type,Cell Station Device Type,
apps/tieta/tieta/hooks.py +59,Cell Station List,
apps/tieta/tieta/templates/pages/cell_station_map.py +19,Cell Station Map,
DocType: Cell Station Power Level,Cell Station Power Level,
DocType: Cell Station Power Setup Type,Cell Station Power Setup Type,
DocType: Cell Station Settings,Cell Station Settings,
DocType: Cell Station Setup Type,Cell Station Setup Type,
DocType: Cell Station Type,Cell Station Type,
DocType: Cell StationDevice,Cell StationDevice,
DocType: Cell StationServiceType,Cell StationServiceType,
apps/tieta/tieta/tieta/doctype/cell_station/cell_station.js +54,Clean Device History,
apps/tieta/tieta/tieta/doctype/cell_station/cell_station.js +56,"Clean Device History will break item trace, Are you sure to delete them?",
DocType: Stock Delivery Order,Cloud Company,
DocType: Cell Station,Code,
DocType: Stock Delivery Order,Company,
DocType: Stock Warehouse,Contact,
DocType: Stock Order,Customer,
DocType: Stock Item,Default Supplier,
DocType: Stock Item,Default Unit of Measure,
DocType: Stock Item,Default Warehouse,
DocType: Stock Entry,Delivery Node No,
apps/tieta/tieta/stock/doctype/stock_delivery_order/stock_delivery_order.py +64,Delivery Order approved!,
DocType: Stock Batch No,Description,
DocType: Cell StationDevice,Device ID,
DocType: Cell StationDevice,Device Item,
DocType: Cell Station,Device List,
DocType: Cell StationDevice,Device Type,
DocType: Cell StationDevice,Device Type Value,
DocType: Cell Station,Devices,
DocType: Stock Entry,Edit Posting Time,
DocType: Stock Item,Enabled,
DocType: Stock Batch No,End of Time,
DocType: Stock Item Group,Group Name,
DocType: Stock Item,Has Batch No,
DocType: Stock Item,Has Serial No,
DocType: Stock Item History,IN,
DocType: Stock Item,ITEM-,
DocType: Stock Item,Image,
DocType: Stock Item History,InOut,
DocType: Stock Order,Information,
DocType: Stock Item,Inventory,
DocType: Stock Delivery OrderItem,Item,
DocType: Stock Batch No,Item Code,
DocType: Stock Item,Item Group,
DocType: Stock Delivery Order,Item List,
DocType: Stock EntryItem,Item Name,
DocType: Stock EntryItem,Item Type,
DocType: Stock Delivery Order,Items,
DocType: Cell Station,Latitude,
DocType: Cell Station Power Level,Level Name,
DocType: Cell Station,Longitude,
DocType: Stock Item,Maintain Stock,
DocType: Stock Entry,Manufacture,
DocType: Cell Station,Map Settings,
DocType: Stock Entry,Material Transfer,
DocType: Stock Delivery OrderItem,Name,
DocType: Stock Order,ORD-,
DocType: Stock Item History,OUT,
DocType: Stock Entry,Order ID,
DocType: Stock Order,Order Name,
DocType: Stock Delivery Order,Order Source ID,
DocType: Stock Delivery Order,Order Source Type,
DocType: Stock Delivery Order,Planned Date,
DocType: Stock Item History,Position,
DocType: Stock Item History,Position Type,
DocType: Stock Entry,Posting Time,
DocType: Cell Station,Power Level,
DocType: Cell Station,Project,
DocType: Stock Entry,Purpose,
DocType: Stock Delivery OrderItem,Qty,
DocType: Cell Station,Region Settings,
DocType: Stock Delivery OrderItem,Remark,
DocType: Stock Delivery Order,SDO-,
DocType: Stock Entry,STE-,
DocType: Stock Entry,Sales Return,
DocType: Stock Order,Selling,
DocType: Stock Item,Serial Attribute,
apps/tieta/tieta/stock/doctype/stock_entry/stock_entry.py +49,Serial NO is not validate! {0},
